id,dept,first,last,numratings,overall_rating
80,Arabic,Amir,Al-Azraki,1,1
81,Philosophy,Mohamad,Al-Hakim,1,5
82,Computer Science,Mufleh,Al-Shatnawi,122,2.4
83,Finance,.,Alagurajah,25,4
84,Kinesiology,Dewan,Alam,6,2
85,Human Resources Management,Mahbubul,Alam,6,2.2
86,Social Science,Mariful,Alam,2,5
87,Engineering,Abid,Alam,1,5
88,Criminology,Negar,Alamdar,28,2.3
89,Economics,Sule,Alan,11,2.4
90,Business Administration,Michael,Alan,0,
91,Not Specified,Kleinman,Alan,0,
92,English,Navneet,Alang,5,4.4
93,Health Science,William,Albabish,2,5
94,Political Science,Gregory,Albo,26,3.7
95,Languages,Gabriela,Alboiu,37,3.6
96,Mathematics,R. Gordon,Albright,56,2.4
97,Administration,Olga,Alcalde,16,4.2
98,Dance,Patrick,Alcedo,9,4.8
99,Accounting,Jamison,Aldcorn,18,3.2
100,Administration,Jamison,Aldcorn,0,
101,Design,Danielle,Alderman,1,5
102,History,Kristine,Alexander,0,
103,Marketing,Campbell,Alexandra,4,3.9
104,Anthropology,Othon,Alexandrakis,6,4.7
105,Accounting,Narbe,Alexandrian,40,4.8
106,Business,Ron,Alexandrowich,93,2.8
107,Women's Studies,Tasia,Alexopoulos,0,
108,Social Science,Hiba,Alhomoud,2,2.5
109,Accounting,Saad,Ali,0,
110,Administration,Salman,Ali,0,
111,Economics,Shakfat,Ali,1,1
112,Computer Science,Mahmoodi,Ali,11,3.3
113,Human Resources Management,Shah,Ali,9,3.2
114,Economics,Shafkat,Ali,46,3.9
115,English,Zaynab,Ali,2,5
116,Health,Farihah,Ali,7,5
117,Environmental Studies,Harris,Ali,14,3.8
118,Information Technology,Nahid,Alimohammadi,9,3.9
119,Sociology,Joan,Allen,4,3.8
120,Social Work,Julet,Allen,5,2.2
121,Philosophy,Julie,Allen,251,3.7
122,English,Laura,Allen,5,4.2
123,Social Science,Joan,Allen,70,3.2
124,Social Science,John,Allett,11,4.9
125,Biology,Nezeka,Alli,27,3.3
126,Computer Science,Robert,Allison,19,3
127,Economics,Asgar,Ally,27,1.9
128,Languages,Oswald,Almasi,12,4.9
129,Political Science,Sabah,Alnasseri,7,3.1
130,Gender Studies,Angele,Alook,7,2
131,Computer Science,Saed,Alrabaee,0,
132,Education,Steven,Alsop,2,5
133,Education,Steve,Alsop,18,5
134,English,Vermonja,Alston,52,2.6
135,Computer Science,Enas,AlTarawneh,62,4.7
136,Social Science,Tara,Altrui,6,2.5
137,Not Specified,Abdulaziz,Alwathainani,2,2
138,Computer Science,John,Amanatides,30,3.5
139,Humanities,Flavia,Amaral,1,3
140,Sociology,Anne-Marie,Ambert,22,2.1
141,Education,Tigist,Amdemichael,24,2.4
142,Anthropology,Lalaie,Ameeriar,3,4.3
143,Dance,Modesto,Amegago,5,3.4
144,Accounting,Bartosz,Amerski,13,4.6
145,Psychology,Megan,Ames,8,4.2
146,Public Administration,Najva,Amin,1,5
147,Engineering,Alidad,Amirfazli,12,1.8
148,Computer Science,Amirali,Amirsoleimani,16,4.3
149,Nursing,Faith,Amis,0,
150,Biology,Ray,Amith,5,1.2
151,Information Technology,Xiangdong,An,6,3.8
152,Computer Science,Aijun,An,28,3.4
153,Biology,Mordechay,Anafi,197,2.4
154,Natural Sciences,Motti,Anafi,88,2.5
155,Biology,Motti,Anafi,7,3.7
156,Economics,Mahmudul,Anam,26,4
157,Economics,Anastasios T Adamopoulos,Anastasios T Adamopoulos,0,
158,Languages,Ellen,Anderson,22,3.9
159,Psychology,John,Anderson,17,4
160,Dance,Carol,Anderson,1,2
161,Criminology,Andrea,Anderson,9,1.9
162,History,Gordon,Anderson,5,4.4
163,Social Science,Keith,Anderson,2,4
164,Social Science,Melissa,Anderson,1,5
165,Theatre,Morgan,Anderson,1,5
166,Humanities,Gordon,Anderson,124,3.6
167,Sociology,Karen,Anderson,100,3.4
168,Geography,Richard,Anderson,91,2.8
169,Humanities,Katharine,Anderson,17,2.3
170,Humanities,Jan,Anderson,13,4.8
171,Accounting,Larry,Andrade,2,1.5
172,History,Jennifer,Andreae,5,4.3
173,Dance,Megan,Andrews,2,3
174,Philosophy,Kristin,Andrews,54,3.8
175,Applied Linguistics,Philipp,Angermeyer,14,3.8
176,Education,Lucy,Angus,1,3
177,Education,Paul,Aniceto,2,5
178,Social Science,Maryam,Anis,0,
179,Business Administration,Patel,Anita,0,
180,Administration,Anna,Anna,0,
181,Accounting,Marcia,Annisette,14,3.9
182,Humanities,Nadir,Ansari,2,5
183,Economics,Mercy,Anselm,50,3.8
184,Mathematics,Anthony,Anthony,1,1
185,Not Specified,Falikowski,Anthony,2,3.3
186,Urban Studies,Mark,Antoine,0,
187,Social Work,Clarke,Antoinette,3,3.3
188,Civil Engineering,Mario,Antoun,1,1
189,Nursing,Dora,Antwi,11,3.6
190,Social Science,Paul,Antze,6,4.3
191,Social Work,Uzo,Anucha,11,2.9
192,Nursing,Charles,Anyinam,8,3.4
193,Health Policy & Management,Lora,Appel,2,1.5
194,Economics,Elie,Appelbaum,13,4.4
195,Film,Genvieve,Appleton,1,3.5
196,Political Science,Scott,Aquanno,10,4.8
197,Social Science,Tia,Arash,8,4.5
198,Information Technology,Fazel,Arastesh,17,1.1
199,Biology,Charlotte,Araujo,0,
200,Economics,Ilya,Archakov,3,5
201,Kinesiology,Chris,Ardern,19,3.6
202,Humanities,Julian,Arend,0,
203,Finance,Hamid,Arian,1,1
204,Accounting,Ammar,Arif,3,4.5
205,Biology,Hassan,Arif,1,5
206,Computer Science,Eshrat,Arjomandi,33,2.1
207,Physics,Mary-Helen,Armour,134,2.8
208,Visual Arts,David,Armstrong,14,4.2
209,Sociology,Pat,Armstrong,1,3.5
210,Sociology,Natasha,Armstrong,0,
211,Social Science,Ruth,Armstrong,1,1.5
212,Nursing,Kathleen,Armstrong,0,
213,Theatre,Eric,Armstrong,1,5
214,Psychology,Sharon,Armstrong,23,4.3
215,Languages,Luke,Arnason,19,3.9
216,Law,Brent,Arnold,0,
217,Psychology,Chantal,Arpin-Cribbie,8,3.9
218,History,Mathieu,Arsenault,1,5
219,Business Administration,Zeshan,Arshad,0,
220,Sociology,Anna,Artyushina,1,5
221,Mathematics,Elena,Aruffo,5,3.2
222,English,Rachel,Asare,0,
223,Administration,Ali,Asgary,20,3.8
224,Sociology,Alireza,Asgharzadeh,63,4.2
225,Philosophy,Nicholas,Ashby,9,4
226,Humanities,Noa,Ashkenazi,2,4.2
227,Computer Science,Wendy,Ashlock,3,2.8
228,Engineering,Amir,Ashouri,5,4.2
229,Mathematics,Bushra,Ashraf,15,2
230,Computer Science,Amir,Asif,68,4
231,Nursing,Susan,Askin,14,1.9
232,Computer Engineering,Osama,Askoura,0,
233,Psychology,Asal,Aslemand,1,1
234,Criminology,Micheal,Asres,1,4
235,Health,Chloe,Astbury,2,5
236,Biology,Jade,Atalah,0,
237,Civil Engineering,Kamelia,Atefi Monfared,2,3
238,Mathematics,Safia,Athar,0,
239,Applied Mathematics,Safia,Athar,49,1.5
240,Economics,Daniel,Atif,18,4
241,Political Science,Kirk,Atkinson,111,3.1
242,Sociology,Tara,Atluri,26,3.7
243,Visual Arts,Deguire,Atom,10,2.8
244,Political Science,Tyler,Attwood,10,4
245,Finance,Shiu,Au,3,3.7
246,Chemistry,Gerald,Audette,39,3.1
247,Business,Preet,Aulakh,13,3.4
248,Chemistry,Ashur,Aushana,1,1.5
249,Chemistry,Maggie,Austen,101,4
250,Management,Ellen,Auster,5,4.1
251,Languages,Peter,Avery,15,4.4
252,French Studies,Anat,Avitzur,14,4.1
253,Psychology,Ehud,Avitzur,76,3.2
254,Marketing,Eleonora,Axelova,0,
255,Education,Paul,Axelrod,3,4.7
256,Political Science,Kushan,Azadah,1,5
257,Economics,Imran,Aziz,2,5
258,History,Dan,Azoulay,43,2.6
259,Political Science,Carl,Baar,5,3.1
260,Philosophy,Farzad,Babadi,10,4.8
261,Environmental Studies,Yassaman,Babaee,2,1
262,Accounting,Supinder,Babra,89,4.9
263,Design,Marija,Bacic,1,4
264,Biology,Peter,Backx,17,3.9
265,Languages,Ibrahim,Badr,43,4
266,Social Work,Harjeet,Badwall,21,3.1
267,Finance,Kee-Hong,Bae,7,2.3
268,English,Joel,Baetz,32,4.3
269,Health,Fatou,Bagayogo,22,2.5
270,Sociology,Bianca,Baggiarini,3,4.5
271,Sociology,Ramanpreet,Bahra,14,5
272,Languages,Romana,Bahry,25,3.3
273,Nursing,Annette,Bailey,6,3.6
274,Art History,Andrew,Bailey,1,5
275,Humanities,Steven,Bailey,47,4.4
276,Geography,Alison,Bain,3,4.7
277,Geography,Allison,Bain,17,3.3
278,Political Science,Joe,Baines,8,4.2
279,Kinesiology,Natasa,Bajin,4,3.6
280,Social Science,Jonnie,Bakan,9,4.8
281,Physics,Ross,Baker,18,4.5
282,Kinesiology,Joseph,Baker,28,4.3
283,Not Specified,Yvan,Baker,7,4.6
284,Education,Dian,Baker,11,1.6
285,Social Work,Stephanie,Baker Collins,9,5
286,Computer Science,Rabia,Bakhteri,0,
287,Mathematics,Sergio,Balan,6,4.7
288,Physics,Nick,Balaskas,41,4.8
289,English,Ian,Balfour,31,3.2
290,Visual Arts,Barbara,Balfour,16,3.7
291,Computer Science,Melanie,Baljko,70,3.4
292,Psychology,Laura,Ball,16,4.5
293,English,Darcy,Ballantyne,13,3.5
294,Education,Natalia,Balyasnikova,4,4.5
295,Geography,Yifang,Ban,5,2.4
296,Political Science,Clark,Banack,15,4.5
297,Sociology,Krista,Banasiak,4,3.9
298,Human Rights,Mohamed,Banda,43,4.8
299,Writing,Tilak,Banerjee,14,1.9
300,Liberal Studies,Syed,Banoori,5,5
301,Administration,Tova,Bar Dayan,1,1
302,Human Resources Management,Tova,Bar-Dayan,17,2.4
303,Psychology,Raluca,Barac,18,4.8
304,Sociology,Grace,Barakat,3,5
305,Finance,Eric,Barapp,0,
306,Philosophy,Farzad,Barbadi,0,
307,Sociology,Andrea,Barbera,1,5
308,Economics,Vassilios,Bardis,146,2.7
309,Political Science,Gerald,Bareebe,1,4
310,International Studies,Alban,Bargain Villeger,17,3.9
311,Mathematics,Amir,Barghi,5,2.4
312,Education,Khaled,Barkaoui,6,2.3
313,Philosophy,Michael,Barkasi,8,4
314,Marketing,Ann,Barker,7,4.6
315,Film,Rebecca,Barker,4,2.2
316,Finance,Gaina,Barkhudarov,1,5
317,Criminology,Reza,Barmaki,7,3.3
318,Law,Moris,Barmherzig,3,5
319,Environmental Studies,Deborah,Barndt,15,2.9
320,Sociology,Anmarie,Barnes,4,4.8
321,Psychology,Marissa,Barnes,5,1.8
322,Sociology,Annemarie,Barnes,3,5
323,Psychology,Ryan,Barnhart,12,4.7
324,Social Work,Marisa,Barnhart,1,4
325,Education,Tiffany,Barnikis,0,
326,Management,Kelly,Baron,16,4.5
327,Psychology,Maxwell,Barranti,130,3.7
328,Social Science,Amelie,Barras,7,4.4
329,Geography,Pierre,Barrieau,4,4.9
330,Economics,Dave,Barrows,114,3
331,Nursing,Cherice,Barrows,28,1
332,History,Aurora,Barsalou,6,4
333,Design,Todd,Barsanti,2,4.2
334,Film,Tereza,Barta,35,3
335,Physics,Norbert,Bartel,46,3.5
336,Management,Henry,Bartel,69,1.8
337,Management,Paul,Barter,41,3.5
338,Business,Timothy J.,Bartkiw,11,3.1
339,Film,Emily,Barton,4,3
340,History,Rukmini,Barua,1,5
341,Information Technology,Khairul,Bashar,13,1.3
342,Civil Engineering,Rashid,Bashir,9,4.3
343,English,Elaina,Basile,8,4.3
344,Social Science,Carolyn,Bassett,9,2.9
345,Kinesiology,Rebecca,Bassett-Gunter,32,4
346,Theater,Erika,Batdorf,17,3.5
347,Social Science,Krystal,Batelaan,3,1
348,"Languages, Lit., & Linguistics",Martha,Batiz,6,4.2
349,Sociology,Charles,Battershill,124,2.3
350,Visual Arts,Jon,Baturin,15,3.2
351,Psychology,Natasha,Bauer,40,3.3
352,Disaster Management,David,Baumken,1,4
353,English,Dunja,Baus,60,4.6
354,History,Katharine,Bausch,1,5
355,Administration,Kristle,Bautista,2,5
356,Sociology,Sylvia,Bawa,27,3.3
357,Business Administration,Ray,Bawania,7,5
358,Finance,Reyhan,Bawania,0,
359,Social Science,Paul,Baxter,95,3.7
360,Finance,Kee,Bay,1,1.5
361,Biology,Mark,Bayfield,80,4.5
362,Psychology,Jennifer,Bazar,11,4.5
363,Biology,Dawn,Bazely,70,3.2
364,Law,Ray,Bazowski,0,
365,Political Science,Ray,Bazowski,58,3.8
366,Social Science,Barbara,Beardwood,8,3.7
367,Economics,John,Beare,42,3.4
368,Education,Julie,Beattie,12,3.2
369,Music,William,Beauvais,3,3.7
370,Psychology,James,Bebko,0,
371,Psychology,Adam,Bebko,7,4.9
372,Philosophy,Jacob,Beck,8,3.4
373,Business,Dirk,Becker,16,1.7
374,Film,Manfred,Becker,2,4.5
375,Civil Engineering,Ryley,Beddoe,3,4.8
376,Nursing,Dorcas,Bediako,0,
377,French Studies,Diane,Beelen Woody,4,4.5
378,English,Fran,Beer,12,3.7
379,Computer Science,Andreas,Behm,0,
380,Business,Glenn,Belanger,10,4.5
381,Kinesiology,Angelo,Belcastro,57,1.7
382,Business,Monica,Belcourt,27,2.6
383,Marketing,Russell,Belk,8,3.3
384,English,Marcia,Bell,33,2.2
385,Education,Jill,Bell,4,3.1
386,Writing,Stephanie,Bell,11,4
387,Business,Chris,Bell,20,2.8
388,English,John,Bell,106,2.4
389,Political Science,Shannon,Bell,34,4.7
390,Humanities,Rita,Belladonna,17,4.7
391,Computer Science,Alvine,Belle,17,2.7
392,Multidisciplinary Studies,Barbara,Bellissimo,1,4
393,Psychology,Arlie,Belliveau,6,3.4
394,Geography,Rick,Bello,31,3.7
395,Biology,Vladimir (Kyle),Belozerov,338,4.1
396,Biology,Samuel,Benchimol,17,4.4
397,Law,Janine,Benedet,0,
398,Mathematics,Carolina,Benedetti,12,3.8
399,Humanities,Tina,Benigno,0,
400,Law,Jack,Bensimon,35,3.7
401,Information Technology,Younes,Benslimane,115,2.6
402,Education,Ron,Benson,16,4.9
403,Sociology,Erin,Bentley,3,5
404,Science,Jordan,Bentley,0,
405,Environmental Studies,Sam,Benvie,3,3.7
406,History,Mathew,Bera,11,4.8
407,"Languages, Lit., & Linguistics",Ximena B,Berecochea,8,5
408,Business,Rhona,Berengut,50,2.5
409,Social Science,Gillian,Beresford,1,5
410,Education,Tanya,Berg,5,2.6
411,Accounting,Svetlana,Berger,0,
412,Applied Mathematics,Nantel,Bergeron,0,
413,Mathematics,Nantel,Bergeron,17,4.5
414,Physics,Christopher,Bergevin,34,1.9
415,Theatre,Adam,Bergquist,2,4.5
416,Communication Studies,Kelly,Bergstrom,0,
417,Humanities,Jody,Berland,15,2.7
418,Business,Jordan,Berman,0,
419,Writing,Marlene,Bern,2,3.8
420,Drama Studies,Guglielme,Bernardi,0,
421,Economics,Karen,Bernhardt-Walther,73,2.3
422,"Languages, Lit., & Linguistics",Marlene,Bernholtz,5,3.2
423,Writing,Marlene,Bernholtz,16,2.7
424,English,Samantha,Bernstein,1,5
425,Political Science,Stacey,Berquist,1,3
426,Sociology,Hilton,Bertalan,5,4.3
427,Nursing,Mavoy,Bertram,14,3.3
428,Film,Andrew,Berzins,1,4
429,Geography,Ulrich,Best,12,4.5
430,History,Cecilia,Best,0,
431,Accounting,Kate,Bewley,16,2.7
432,Physics,Sampa,Bhadra,12,3.5
433,Social Science,Meena,Bhamra,0,
434,English,Sheetala,Bhat,0,
435,Natural Sciences,Sangay,Bhutia,1,2.5
436,History,Franklin,Bialystok,0,
437,Psychology,Ellen,Bialystok,31,2.3
438,Science,Luigi,Bianchi,17,3.4
439,Social Science,Annette,Bickford,0,
440,Sociology,Annette,Bickford,36,3.7
441,Philosophy,Jeanette,Bicknell,5,4.3
442,Business,Markus,Biehl,4,3.4
443,Humanities,Carol.,Bigwood,28,2.2
444,Design,Lucy,Bilson,0,
445,Kinesiology,Gordon,Binsted,1,5
446,English,Frank,Birbalsingh,6,4.5
447,Social Science,Kean,Birch,21,2.9
448,Sociology,Greg,Bird,11,4.2
449,English,Kym,Bird,31,3.7
450,Kinesiology,Olivier,Birot,91,3.7
451,Sociology,Katherine,Bischoping,7,2.6
452,Sociology,Kathy,Bischoping,3,3.7
453,Music,Bassam,Bishara,0,
454,Engineering,Sunil,Bisnath,1,3
455,Art History,Natasha,Bissonauth,1,5
456,Social Science,Johanna,Black,1,5
457,Social Science,Johannah,Black,5,5
458,Social Science,Sarah,Blacker,14,4.9
459,Kinesiology,Philip,Blackford,10,4.2
460,Humanities,Bill,Blackstock,4,2.9
461,Psychology,Anne,Blais,15,3.3
462,Human Resources Management,Anna,Blake,2,2.5
463,Business,Gary,Blake,44,3.2
464,Business,Anna,Blake,61,2.6
465,Humanities,Sarah,Blake,34,4.8
466,Visual Arts,Thomas,Blanchard,2,4.2
467,English,John,Blazina,64,3.1
468,Equity Studies,Lindsay,Blewett,1,4
469,History,Ashlee,Bligh,11,5
470,Anthropology,Malcolm,Blincow,25,4.7
471,Physics,Nikita,Blinov,1,5
472,Women's Studies,Brenda,Blondeau,24,3
473,English,Marcia,Blumberg,16,4.2
474,Mathematics,Ilia,Bluvshtein,1,3
475,Engineering,Solomon,Boakye-Yiadom,5,4.4
476,Finance,Razvan,Boconcios,43,4.6
477,Accounting,Katarzyna,Bodnar,0,
478,Human Resources Management,Janet,Boekhorst,7,5
479,Social Work,Maureen,Boettcher,1,5
480,Communication,Anita,Boey,8,2.5
481,Music,Stephanie,Bogle,0,
482,Chemistry,Diethard,Bohme,0,
483,Political Science,Simone,Bohn,50,3.1
484,Psychology,Yvonne,Bohr,8,4.6
485,Nursing,Renee,Boi-Doku,5,4.2
486,Human Resources Management,Galina,Boiarintseva,27,4.7
487,Social Work,Nimo,Bokore,14,4.2
488,Geography,Alana,Boland,0,
489,Dance,Jennifer,Bolt,24,4.3
490,Marketing,Marie,Bomba,3,4.7
491,Accounting,Anthony,Bonanno,15,3.1
492,Administration,lorenzo,Bonanno,2,5
493,Kinesiology,Michael,Boni,46,3.9
494,History,Jennifer,Bonnell,5,4.3
495,Marketing,Samuel,Bonsu,33,2.5
496,English,Marcus,Boon,54,3.7
497,Business,Raman,Boparai,0,
498,Philosophy,Idil,Boran,46,3.2
499,Psychology,Tali,Boritz,4,3.5
500,Languages,Toni,Borowsky,8,2
501,Sociology,Stephen,Bosanac,66,4.6
502,Social Science,Stephen,Bosanac,3,4.7
503,Philosophy,Maria,Botero,2,3
504,Mathematics,Andriy,Botyuk,1,4
505,Psychology,Beverley,Bouffard,23,3.7
506,Physics,Charles,Boukar�,0,
507,French Studies,H�di,Bouraoui,0,
508,Education,Melanie,Bourke,4,4
509,Education,Heather,Bourrie,2,4.5
510,Sociology,Maxime,Bouthillier,0,
511,Accounting,Jane,Bowen,16,3.7
512,Dance,Karen,Bowes-Sewell,8,3.6
513,Ceramics,D�Andr�a,Bowie,0,
514,Music,Rob,Bowman,75,4.1
515,History,Kendra,Boyd,0,
516,Sociology,Philip,Boyle,13,4.9
517,Political Science,Sumercan,Bozkurt Gungen,4,3.3
518,Theater,Pat,Bradley,2,4.8
519,Kinesiology,Nicolette,Bradley,15,4.8
520,Nursing,Patricia,Bradley,4,3.8
521,Business,Patricia,Bradshaw,18,2.1
522,Humanities,Neil,Braganza,92,4.2
523,Applied Mathematics,Nicola,Bragazzi,1,5
524,Criminology,Jessica,Braimoh,5,3.6
525,Environmental Studies,Lina,Brand Correa,0,
526,Humanities,Heiderose,Brandt-Butscher,5,3.5
527,Psychology,Andrew,Brankley,0,
528,Social Science,Wally,Brant,10,2.1
529,Not Specified,Oana,Branzei,6,4.4
530,Civil Engineering,Satinder,Brar,0,
531,English,Sean,Braune,2,5
532,Political Science,Martin,Breaugh,63,4.9
533,Information Technology,Eduardo,Bresani,23,3
534,Social Science,Harris,Breslow,18,2.6
535,Music,Patricia,Brett,0,
536,Mathematics,Eli,Brettler,86,2.8
537,Computer Science,Frank,Breugel,1,4
538,Administration,George,Brian Gaber,5,3.3
539,Sociology,Paul,Brienza,77,4.2
540,Social Science,Linda,Briskin,40,2.9
541,Biology,Kristen,Brochu,6,5
542,Social Science,Deborah,Brock,74,1.9
543,Kinesiology,Kathy,Broderick,43,3.1
544,Geography,Peter,Brogan,1,4.5
545,Criminal Justice,Eric,Bronson,47,3.3
546,History,Stephen,Brooke,73,4.1
547,History,Tarah,Brookfield,8,4.6
548,Law,W. Neil,Brooks,4,4
549,Health,Nan,Brooks,1,5
550,Humanities,Michael,Brown,26,2.1
551,Humanities,Shirley,Brown,10,3.6
552,Psychology,Nicola,Brown,7,4.8
553,Humanities,Robert,Brown,3,3.8
554,Nursing,Nina,Brown,0,
555,Computer Science,Michael,Brown,59,5
556,Computer Science,Micheal,Brown,5,5
557,Social Work,Elaine,Brown-Spencer,41,2.1
558,Health,Jan,Browne,8,3.7
559,Administration,Alex,Browning,45,4
560,Kinesiology,Michelle,Brownrigg,1,4.5
561,Computer Science,Marcus,Brubaker,4,2
562,Social Science,Elizabeth,Brule,91,3.5
563,Mathematics,Jorge,Bruno,7,3.3
564,Accounting,Robert,Bryant,10,4.1
565,Sociology,Toba,Bryant,3,3
566,Economics,Mat,Brzozowski,59,2.7
567,Economics,Mateusz,Brzozowski,9,2.9
568,Languages,Mauro,Buccheri,29,3.2
569,Writing,Matt,Bucemi,1,5
570,Design,Phil,Buchanan,2,3.5
571,Film,Amnon,Buchbinder,16,4.6
572,Theatre,Ines,Buchli,7,3.6
573,Biology,Carol,Bucking,28,3.9
574,Economics,Neil,Buckley,35,4.1
575,Economics,Sam,Bucovetsky,29,3.7
576,Business,Marie,Budworth,41,4.3
577,Mathematics,Krystyna,Bugajska,96,2
578,Nursing,Catriona,Buick,4,3
579,Environmental Studies,Martin,Bunch,14,3.2
580,History,Steve,Bunn,4,3.1
581,Social Science,Annie,Bunting,45,3.7
582,Mathematics,Kystyna,Buqajska,10,2
583,Music,Lindy,Burgess,39,2.5
584,Health Policy  Management,Madeline,Burghardt,19,4.9
585,Administration,Paulette,Burgher,1,1
586,Business,Paulette,Burgher,70,4.4
587,Business,Ron,Burke,6,3.3
588,Music,Karen,Burke,24,4.4
589,Humanities,Tony,Burke,12,4.4
590,Humanities,Donald,Burke,71,2.5
591,Psychology,Jeremy,Burman,25,4.8
592,Mathematics,Robert,Burns,35,3.2
593,Sociology,Conor,Burns,8,2.7
594,Kinesiology,Jamie,Burr,3,5
595,Music,Norma,Burrowes,6,4.7
596,Business Administration,Lyn Van,Bursirk,6,1.9
597,Human Resources Management,Lynne,Buskirk,0,
598,Sociology,Jeffrey,Butler,8,3.9
599,Music,Corey,Butler,1,4.5
600,Nursing,Jeffrey,Butler,0,
601,Civil Engineering,Liam,Butler,0,
602,Humanities,Gary,Butler,33,2.8
603,Humanities,Amila,Buturovic,47,3.4
604,Health Policy & Management,Ernest,Byers,2,5
605,Digital Arts,Meagan,Byrne,0,
606,Design,David,Cabianca,23,2.7
607,Music,Michael,Cado,35,3.8
608,Kinesiology,Enzo,Cafarelli,37,3.1
609,Visual Arts,Laura,Calvi,0,
610,Psychology,Alexandra,Calvo,5,3
611,Psychology,Noelia Belen,Calvo Garbarino,2,5
612,Film,Evan,Cameron,21,2.9
613,Political Science,Barbara,Cameron,28,3.5
614,Information Technology,Jamon,Camisso,18,4.2
615,Marketing,Alexandra,Campbell,15,2.8
616,Information Science,Stuart,Campbell,0,
617,Sociology,Andrea,Campbell,2,5
618,Nursing,Karen,Campbell,8,4.6
619,Humanities,Lee,Campbell,1,4
620,Design,Trevor,Campbell,1,4
621,English,Heather,Campbell,19,4.1
622,Humanities,Colin,Campbell,13,4
623,Information Technology,Radu,Campeanu,0,
624,Computer Science,Radu,Campeanu,102,3.2
625,Social Work,Herberth,Canas,18,2.4
626,Political Science,Nergis,Canefe,46,3.1
627,Social Science,Eduardo,Canel,96,4.2
628,Humanities,Jeffrey,Canton,76,2.4
629,Music,Lisette,Canton,22,3.6
630,Urban Studies,Jeff,Cantos,2,4.8
